name,sis_id,login_id,email,time_zone
Nancy Carpenter,129885,tbyington+Nancy.Carpenter@instructure.com,tbyington+Nancy.Carpenter@instructure.com,Copenhagen
Anna Simmons,587891,tbyington+Anna.Simmons@instructure.com,tbyington+Anna.Simmons@instructure.com,Casablanca
Daniel Hunter,132239,tbyington+Daniel.Hunter@instructure.com,tbyington+Daniel.Hunter@instructure.com,Kathmandu
Terry Perkins,330343,tbyington+Terry.Perkins@instructure.com,tbyington+Terry.Perkins@instructure.com,Melbourne
Carl Ramirez,843144,tbyington+Carl.Ramirez@instructure.com,tbyington+Carl.Ramirez@instructure.com,Harare
Sharon Hughes,401278,tbyington+Sharon.Hughes@instructure.com,tbyington+Sharon.Hughes@instructure.com,Irkutsk
Roy Jackson,508087,tbyington+Roy.Jackson@instructure.com,tbyington+Roy.Jackson@instructure.com,Singapore
Jonathan Welch,187204,tbyington+Jonathan.Welch@instructure.com,tbyington+Jonathan.Welch@instructure.com,Melbourne
Kelly Willis,428430,tbyington+Kelly.Willis@instructure.com,tbyington+Kelly.Willis@instructure.com,La Paz
Jeffrey Larson,214754,tbyington+Jeffrey.Larson@instructure.com,tbyington+Jeffrey.Larson@instructure.com,International Date Line West
Peter White,899583,tbyington+Peter.White@instructure.com,tbyington+Peter.White@instructure.com,Tijuana
Sandra Lawson,514078,tbyington+Sandra.Lawson@instructure.com,tbyington+Sandra.Lawson@instructure.com,Indiana (East)
Sandra Grant,32142,tbyington+Sandra.Grant@instructure.com,tbyington+Sandra.Grant@instructure.com,Istanbul
Julie Peters,272156,tbyington+Julie.Peters@instructure.com,tbyington+Julie.Peters@instructure.com,Chihuahua
Donald Carter,51863,tbyington+Donald.Carter@instructure.com,tbyington+Donald.Carter@instructure.com,Vilnius
Elizabeth Arnold,457611,tbyington+Elizabeth.Arnold@instructure.com,tbyington+Elizabeth.Arnold@instructure.com,UTC
Jonathan Ross,9616,tbyington+Jonathan.Ross@instructure.com,tbyington+Jonathan.Ross@instructure.com,Lima
Angela Dunn,927200,tbyington+Angela.Dunn@instructure.com,tbyington+Angela.Dunn@instructure.com,Kathmandu
Diana Sanders,610786,tbyington+Diana.Sanders@instructure.com,tbyington+Diana.Sanders@instructure.com,London
Debra Ellis,917950,tbyington+Debra.Ellis@instructure.com,tbyington+Debra.Ellis@instructure.com,Tbilisi
Matthew Ortiz,960552,tbyington+Matthew.Ortiz@instructure.com,tbyington+Matthew.Ortiz@instructure.com,Volgograd
Paula Nelson,999881,tbyington+Paula.Nelson@instructure.com,tbyington+Paula.Nelson@instructure.com,Saskatchewan
Marie Matthews,425334,tbyington+Marie.Matthews@instructure.com,tbyington+Marie.Matthews@instructure.com,Sri Jayawardenepura
Amanda Ryan,535261,tbyington+Amanda.Ryan@instructure.com,tbyington+Amanda.Ryan@instructure.com,Pretoria
Phillip Morales,680855,tbyington+Phillip.Morales@instructure.com,tbyington+Phillip.Morales@instructure.com,Magadan
Pamela Watson,692711,tbyington+Pamela.Watson@instructure.com,tbyington+Pamela.Watson@instructure.com,New Delhi
Robert Harrison,110037,tbyington+Robert.Harrison@instructure.com,tbyington+Robert.Harrison@instructure.com,Zagreb
Justin Cox,723979,tbyington+Justin.Cox@instructure.com,tbyington+Justin.Cox@instructure.com,Samoa
Lori Peterson,743466,tbyington+Lori.Peterson@instructure.com,tbyington+Lori.Peterson@instructure.com,Chennai
Ronald Adams,292146,tbyington+Ronald.Adams@instructure.com,tbyington+Ronald.Adams@instructure.com,Minsk
Maria Cruz,999847,tbyington+Maria.Cruz@instructure.com,tbyington+Maria.Cruz@instructure.com,UTC
Amanda Jordan,885983,tbyington+Amanda.Jordan@instructure.com,tbyington+Amanda.Jordan@instructure.com,Volgograd
Julia Reyes,430591,tbyington+Julia.Reyes@instructure.com,tbyington+Julia.Reyes@instructure.com,Solomon Is.
Lawrence Cox,433778,tbyington+Lawrence.Cox@instructure.com,tbyington+Lawrence.Cox@instructure.com,Fiji
Kenneth Ford,977988,tbyington+Kenneth.Ford@instructure.com,tbyington+Kenneth.Ford@instructure.com,Abu Dhabi
Frances Washington,586408,tbyington+Frances.Washington@instructure.com,tbyington+Frances.Washington@instructure.com,Prague
Roger Ryan,738043,tbyington+Roger.Ryan@instructure.com,tbyington+Roger.Ryan@instructure.com,Athens
Richard Jackson,999945,tbyington+Richard.Jackson@instructure.com,tbyington+Richard.Jackson@instructure.com,Moscow
Dorothy Carpenter,337639,tbyington+Dorothy.Carpenter@instructure.com,tbyington+Dorothy.Carpenter@instructure.com,Bogota
Stephen Sanchez,362910,tbyington+Stephen.Sanchez@instructure.com,tbyington+Stephen.Sanchez@instructure.com,Yakutsk
Jerry Gonzales,562586,tbyington+Jerry.Gonzales@instructure.com,tbyington+Jerry.Gonzales@instructure.com,Central Time (US & Canada)
Richard Gibson,827651,tbyington+Richard.Gibson@instructure.com,tbyington+Richard.Gibson@instructure.com,Tehran
Lois Edwards,146765,tbyington+Lois.Edwards@instructure.com,tbyington+Lois.Edwards@instructure.com,Bratislava
Michael Bennett,621379,tbyington+Michael.Bennett@instructure.com,tbyington+Michael.Bennett@instructure.com,Atlantic Time (Canada)
Heather Bryant,741827,tbyington+Heather.Bryant@instructure.com,tbyington+Heather.Bryant@instructure.com,Edinburgh
Brian Hudson,232967,tbyington+Brian.Hudson@instructure.com,tbyington+Brian.Hudson@instructure.com,Fiji
Paul James,20686,tbyington+Paul.James@instructure.com,tbyington+Paul.James@instructure.com,Taipei
Juan Howell,232433,tbyington+Juan.Howell@instructure.com,tbyington+Juan.Howell@instructure.com,Monrovia
Joyce Wells,977272,tbyington+Joyce.Wells@instructure.com,tbyington+Joyce.Wells@instructure.com,Chennai
Kelly Dean,897834,tbyington+Kelly.Dean@instructure.com,tbyington+Kelly.Dean@instructure.com,Irkutsk
Heather Perry,721738,tbyington+Heather.Perry@instructure.com,tbyington+Heather.Perry@instructure.com,Port Moresby
Russell Carpenter,316005,tbyington+Russell.Carpenter@instructure.com,tbyington+Russell.Carpenter@instructure.com,Newfoundland
Linda Lane,682278,tbyington+Linda.Lane@instructure.com,tbyington+Linda.Lane@instructure.com,Jakarta
Susan Black,351131,tbyington+Susan.Black@instructure.com,tbyington+Susan.Black@instructure.com,Samoa
Brian Ortiz,671698,tbyington+Brian.Ortiz@instructure.com,tbyington+Brian.Ortiz@instructure.com,Dhaka
Ann Ramirez,748609,tbyington+Ann.Ramirez@instructure.com,tbyington+Ann.Ramirez@instructure.com,Central Time (US & Canada)
Mark Alvarez,5071,tbyington+Mark.Alvarez@instructure.com,tbyington+Mark.Alvarez@instructure.com,Tehran
Paula Austin,525128,tbyington+Paula.Austin@instructure.com,tbyington+Paula.Austin@instructure.com,London
Peter Mitchell,534432,tbyington+Peter.Mitchell@instructure.com,tbyington+Peter.Mitchell@instructure.com,Minsk
Ann George,312960,tbyington+Ann.George@instructure.com,tbyington+Ann.George@instructure.com,Chennai
Andrew Dunn,117643,tbyington+Andrew.Dunn@instructure.com,tbyington+Andrew.Dunn@instructure.com,Ljubljana
Matthew Mcdonald,630271,tbyington+Matthew.Mcdonald@instructure.com,tbyington+Matthew.Mcdonald@instructure.com,Baku
Matthew Wood,679248,tbyington+Matthew.Wood@instructure.com,tbyington+Matthew.Wood@instructure.com,Guam
Teresa Reid,210693,tbyington+Teresa.Reid@instructure.com,tbyington+Teresa.Reid@instructure.com,Amsterdam
Andrew Clark,572954,tbyington+Andrew.Clark@instructure.com,tbyington+Andrew.Clark@instructure.com,Midway Island
Fred Lopez,281724,tbyington+Fred.Lopez@instructure.com,tbyington+Fred.Lopez@instructure.com,International Date Line West
Paul Montgomery,444062,tbyington+Paul.Montgomery@instructure.com,tbyington+Paul.Montgomery@instructure.com,Warsaw
Bobby Greene,403022,tbyington+Bobby.Greene@instructure.com,tbyington+Bobby.Greene@instructure.com,St. Petersburg
Jonathan Elliott,194836,tbyington+Jonathan.Elliott@instructure.com,tbyington+Jonathan.Elliott@instructure.com,Brisbane
Johnny Ramos,466051,tbyington+Johnny.Ramos@instructure.com,tbyington+Johnny.Ramos@instructure.com,Sofia
Benjamin Parker,308720,tbyington+Benjamin.Parker@instructure.com,tbyington+Benjamin.Parker@instructure.com,Prague
Judy Kelly,857017,tbyington+Judy.Kelly@instructure.com,tbyington+Judy.Kelly@instructure.com,Novosibirsk
Robert Kelley,272401,tbyington+Robert.Kelley@instructure.com,tbyington+Robert.Kelley@instructure.com,Eastern Time (US & Canada)
Steve Hart,212344,tbyington+Steve.Hart@instructure.com,tbyington+Steve.Hart@instructure.com,Melbourne
Catherine Martinez,743472,tbyington+Catherine.Martinez@instructure.com,tbyington+Catherine.Martinez@instructure.com,Hobart
Marie Kelly,22659,tbyington+Marie.Kelly@instructure.com,tbyington+Marie.Kelly@instructure.com,Rome
Catherine Carter,817076,tbyington+Catherine.Carter@instructure.com,tbyington+Catherine.Carter@instructure.com,New Delhi
Jonathan Butler,342833,tbyington+Jonathan.Butler@instructure.com,tbyington+Jonathan.Butler@instructure.com,Midway Island
Carolyn Harper,845174,tbyington+Carolyn.Harper@instructure.com,tbyington+Carolyn.Harper@instructure.com,Nairobi
Patrick Jacobs,329243,tbyington+Patrick.Jacobs@instructure.com,tbyington+Patrick.Jacobs@instructure.com,Tijuana
Martha Matthews,814590,tbyington+Martha.Matthews@instructure.com,tbyington+Martha.Matthews@instructure.com,Amsterdam
Raymond Rogers,663204,tbyington+Raymond.Rogers@instructure.com,tbyington+Raymond.Rogers@instructure.com,Monrovia
Henry Henderson,98208,tbyington+Henry.Henderson@instructure.com,tbyington+Henry.Henderson@instructure.com,Rome
Tina Burke,592987,tbyington+Tina.Burke@instructure.com,tbyington+Tina.Burke@instructure.com,Copenhagen
Kevin Perry,55552,tbyington+Kevin.Perry@instructure.com,tbyington+Kevin.Perry@instructure.com,Bratislava
Tammy Ruiz,1002966,tbyington+Tammy.Ruiz@instructure.com,tbyington+Tammy.Ruiz@instructure.com,Wellington
Anne Richardson,380709,tbyington+Anne.Richardson@instructure.com,tbyington+Anne.Richardson@instructure.com,New Delhi
James Gordon,938940,tbyington+James.Gordon@instructure.com,tbyington+James.Gordon@instructure.com,Muscat
Beverly Chapman,834002,tbyington+Beverly.Chapman@instructure.com,tbyington+Beverly.Chapman@instructure.com,Islamabad
Russell Nelson,179066,tbyington+Russell.Nelson@instructure.com,tbyington+Russell.Nelson@instructure.com,Central Time (US & Canada)
Emily Taylor,499001,tbyington+Emily.Taylor@instructure.com,tbyington+Emily.Taylor@instructure.com,Minsk
Brandon Spencer,222838,tbyington+Brandon.Spencer@instructure.com,tbyington+Brandon.Spencer@instructure.com,Cape Verde Is.
Henry Shaw,789417,tbyington+Henry.Shaw@instructure.com,tbyington+Henry.Shaw@instructure.com,Solomon Is.
Matthew Burns,687736,tbyington+Matthew.Burns@instructure.com,tbyington+Matthew.Burns@instructure.com,Hobart
Gregory Washington,136540,tbyington+Gregory.Washington@instructure.com,tbyington+Gregory.Washington@instructure.com,Saskatchewan
Albert Snyder,55892,tbyington+Albert.Snyder@instructure.com,tbyington+Albert.Snyder@instructure.com,Vilnius
John Carter,624749,tbyington+John.Carter@instructure.com,tbyington+John.Carter@instructure.com,Nairobi
Ryan Castillo,379291,tbyington+Ryan.Castillo@instructure.com,tbyington+Ryan.Castillo@instructure.com,Bucharest
George West,198689,tbyington+George.West@instructure.com,tbyington+George.West@instructure.com,Taipei
Joan Reed,250212,tbyington+Joan.Reed@instructure.com,tbyington+Joan.Reed@instructure.com,Moscow
Laura Green,539897,tbyington+Laura.Green@instructure.com,tbyington+Laura.Green@instructure.com,Muscat
Jacqueline Carter,469668,tbyington+Jacqueline.Carter@instructure.com,tbyington+Jacqueline.Carter@instructure.com,Ljubljana
Alan Lane,215773,tbyington+Alan.Lane@instructure.com,tbyington+Alan.Lane@instructure.com,UTC
Ernest Perez,163798,tbyington+Ernest.Perez@instructure.com,tbyington+Ernest.Perez@instructure.com,Sofia
Samuel Carpenter,434026,tbyington+Samuel.Carpenter@instructure.com,tbyington+Samuel.Carpenter@instructure.com,Volgograd
Jane Mitchell,534338,tbyington+Jane.Mitchell@instructure.com,tbyington+Jane.Mitchell@instructure.com,Chihuahua
Kelly Cunningham,836054,tbyington+Kelly.Cunningham@instructure.com,tbyington+Kelly.Cunningham@instructure.com,Marshall Is.
Frank Mccoy,291497,tbyington+Frank.Mccoy@instructure.com,tbyington+Frank.Mccoy@instructure.com,Kathmandu
Jeremy Gardner,818244,tbyington+Jeremy.Gardner@instructure.com,tbyington+Jeremy.Gardner@instructure.com,Caracas
Frances Schmidt,26924,tbyington+Frances.Schmidt@instructure.com,tbyington+Frances.Schmidt@instructure.com,Kamchatka
Sandra Wright,589101,tbyington+Sandra.Wright@instructure.com,tbyington+Sandra.Wright@instructure.com,Sri Jayawardenepura
Johnny Walker,566873,tbyington+Johnny.Walker@instructure.com,tbyington+Johnny.Walker@instructure.com,Krasnoyarsk
Annie Fisher,7151,tbyington+Annie.Fisher@instructure.com,tbyington+Annie.Fisher@instructure.com,Fiji
Steven Cox,374864,tbyington+Steven.Cox@instructure.com,tbyington+Steven.Cox@instructure.com,Casablanca
Alan Owens,305031,tbyington+Alan.Owens@instructure.com,tbyington+Alan.Owens@instructure.com,Tallinn
Jerry Wallace,327169,tbyington+Jerry.Wallace@instructure.com,tbyington+Jerry.Wallace@instructure.com,Kabul
Roy Vasquez,611447,tbyington+Roy.Vasquez@instructure.com,tbyington+Roy.Vasquez@instructure.com,Midway Island
Jean James,585964,tbyington+Jean.James@instructure.com,tbyington+Jean.James@instructure.com,Melbourne
Ryan Brown,561297,tbyington+Ryan.Brown@instructure.com,tbyington+Ryan.Brown@instructure.com,Tashkent
Jeffrey Burton,893558,tbyington+Jeffrey.Burton@instructure.com,tbyington+Jeffrey.Burton@instructure.com,Yakutsk
Mary Rice,831023,tbyington+Mary.Rice@instructure.com,tbyington+Mary.Rice@instructure.com,Riyadh
Frank Rose,428721,tbyington+Frank.Rose@instructure.com,tbyington+Frank.Rose@instructure.com,Harare
Edward Roberts,377133,tbyington+Edward.Roberts@instructure.com,tbyington+Edward.Roberts@instructure.com,Newfoundland
Jane White,216528,tbyington+Jane.White@instructure.com,tbyington+Jane.White@instructure.com,Nairobi
Teresa Duncan,659731,tbyington+Teresa.Duncan@instructure.com,tbyington+Teresa.Duncan@instructure.com,Lima
Kathy Jones,620720,tbyington+Kathy.Jones@instructure.com,tbyington+Kathy.Jones@instructure.com,Chihuahua
Clarence Kim,612144,tbyington+Clarence.Kim@instructure.com,tbyington+Clarence.Kim@instructure.com,Muscat
Paul Hanson,684513,tbyington+Paul.Hanson@instructure.com,tbyington+Paul.Hanson@instructure.com,Tallinn
Jennifer Kelley,312346,tbyington+Jennifer.Kelley@instructure.com,tbyington+Jennifer.Kelley@instructure.com,Cairo
Theresa Cruz,455969,tbyington+Theresa.Cruz@instructure.com,tbyington+Theresa.Cruz@instructure.com,Kuwait
Beverly Romero,984764,tbyington+Beverly.Romero@instructure.com,tbyington+Beverly.Romero@instructure.com,Atlantic Time (Canada)
Louise Lane,228124,tbyington+Louise.Lane@instructure.com,tbyington+Louise.Lane@instructure.com,Mexico City
George Arnold,743539,tbyington+George.Arnold@instructure.com,tbyington+George.Arnold@instructure.com,Kathmandu
Diane Campbell,92250,tbyington+Diane.Campbell@instructure.com,tbyington+Diane.Campbell@instructure.com,New Delhi
Alan Dixon,83885,tbyington+Alan.Dixon@instructure.com,tbyington+Alan.Dixon@instructure.com,Samoa
John Weaver,465589,tbyington+John.Weaver@instructure.com,tbyington+John.Weaver@instructure.com,Midway Island
